,0
0,1.6 MSI 5Ptas. Trendline (101cv) (L17)
1,Allure 1.6 HDI NAV (115cv) 5Ptas. (L16)
2,1.6 3Ptas. Power
3,1.6 Expression / Confort AA LV2 TRF 2ABG RACK TECH 2PLC
4,1.6 N 16v Feline Tiptronic (115cv) (L18)
5,4x4 CD SRX 2.8 TDI 6MT (177cv) (L16)
6,1.6 3Ptas. Trendline / Pack I (101cv) 
7,1.6 Titanium Powershift (120cv) 5Ptas.
8,XEI 1.8 CVT (140cv) (L18)
9,2.0 Trendline MT
10,1.0 Fly Viral (L/08)
11,1.6 N 16v Allure Tiptronic (115cv) (L18)
12,1.8 LTZ+ AT 4x4 (140cv)
13,Fire 1.4 Pack Confort 5Ptas.
14,1.6 Allure (L20)
15,1.6 XLS \ MP3
16,XEI 1.8 MT Cuero (140cv) (L18)
17,Variant 1.4 TSI Comfortline DSG(150cv) (L15)
18,1.5 XLS AT (105cv) (L18) 4Ptas.
19,1.8 AT Sport (128cv) (L19)
20,1.6 S MT (125cv) 4Ptas.
21,Allure 2.0 MT (143cv) 4Ptas.
22,PH3 1.6 Authentique 1PLC
23,1.6 XLT Free Style
24,1.6 N 16v Feline Pack Cuir (115cv) 
25,1.6 Comfortline 5Ptas. (MY14 ABG ABS)
26,EL 1.4 Pack Attractive Seguridad / Emotion (L10)
27,3.2 TDCi C/Doble 4x2 XLT 6MT (200cv) (L20)
28,Compact 5Ptas. 1.4 HDI Allure / XS (70cv) 
29,1.3 Fire Confort AA DA
30,2.5 R5 Luxury MT (170cv) (L11)
31,1.4 8v LTZ MT (98cv)
32,4x2 CD SRV 2.8 TDI 6MT Pack (177cv) (L16)
33,1.9D Expression / Confort AA 2ABG RACK TECH 2PLC
34,1.6 THP GT (165cv) (L18)
35,Compact 5Ptas. 1.4 N Allure / XS (75cv) 
36,4Ptas. 1.4 N LS ABS ABC
37,Furgón 1.6 HDI Business (92cv) (L17)
38,Fase 2 - 4Ptas. 1.6 Pack Plus (L07) / Authentique Pack
39,1.4 LX AT
40,Furgón 1.6 Hdi Confort ABG (90cv) (L10)
41,Attractive 1.4 5Ptas. (85cv) (L12)
42,1.8 i-VTEC EX-L CVT 2WD (140cv)
43,5Ptas. Ambiente 1.6 MP3
44,1.4 Joy LS+ MT (98cv) (Plan)
45,1.4 LS / LS Spirit 5Ptas.
46,1.8 LT MT (141cv) 4Ptas. 
47,Compact 5Ptas. 1.6 N Griffe / XT Premium (110cv)
48,3.0 TDI V6 (224cv) 4x4 C/Doble Extreme AT (L17)
49,1.4 8v LT MT (98cv)
50,4x4 CD SRV 2.8 TDI 6AT Limited (177cv) (L16)
51,SE-G 1.8 CVT (140cv) (L18)
52,Compact 3Ptas. 1.4 N Active / XR (75cv)
53,1.4 8v LTZ AT (98cv)
54,2.0 TDI (140cv) 4x2 C/Simple Startline
55,1.4 8v Joy LS MT (Plan) (98cv)
56,1.8 LTZ MT (141cv) 4Ptas. 
57,Max 4Ptas. 1.6 N Ambiente Plus MP3 (98cv) (L11)
58,2.0 SE Plus AT (170cv) 5Ptas. (L15)
59,5Ptas. 1.6 N XS (110cv)
60,2.0 TDI (180cv) 4x2 C/Doble Trendline AT
61,1.4 AA DH 5Ptas. (L07)
62,1.4 MultiAir Sport MT (105cv)
63,2.0 TDI (180cv) 4x2 C/Doble Highline Pack AT
64,Fase II 1.6 16v Privilege Plus NAV (105cv)
65,II - 1.6 8v. Authentique Plus (85cv) (L14)
66,2.0 TDI (180cv) 4x4 C/Doble Highline Pack AT
67,Active 1.6 16v (115cv) 5Ptas. (L12)
68,Fase II 1.6 16v Expression / Confort ABCP ABS (105cv)
69,2.2 TDCi C/Doble 6MT 4x2 XL Safety (L12)
70,3.2 TDCi C/Doble 4x2 XLS 6MT (200cv) (L20)
71,3.2 TDCi C/Doble 4x4 XLT 6MT (200cv) (L20)
72,1.4 TFSi S-Tronic Ambition (122cv)
73,Sport 1.6 THP AT (163cv) 5Ptas. (L12)
74,II - 2.0 16v RS (145cv)
75,3.0 TDI C/S 4x2 XL Plus (L05)
76,1.3 GSE MT Drive Pack Conectividad (99cv)
77,1.6 Confort Plus
78,1.0 Move Up! (75cv) 3Ptas.
79,1.4 Attractive Pack Top 5Ptas. (87cv) (L13)
80,2.0 SE Plus AT (170cv) 4Ptas.
81,1.8 LTZ AT (141cv) 4Ptas. 
82,II EXE 4Ptas. 1.8 TD Trend Plus (L08)
83,Fire 1.3 Pack C / Way (68cv) 5Ptas.
84,1.6 Comfortline Pack 3Ptas. (MY14 ABG ABS)
85,2.5 R5 Advance Plus MT (170cv)
86,1.6 5Ptas. Pack II (101cv)
87,1.6 MSI 5Ptas. Highline (101cv) (L17)
88,Feline 1.6 HDI (115cv) 5Ptas. (L12)
89,2.5 R5 Luxury Tiptronic (170cv) (L11)
90,1.6 S Plus MT (120cv) 4Ptas.
91,1.6 SE MT (120cv) 5Ptas.
92,Furgón 1.4 Confort AA PLC
93,1.4 LX MT
94,1.6 Authentique Pack AA DA CD 1PLC
95,1.6 Fly Viral (L/08)
96,5Ptas. Edge 1.6 MP3
97,1.5 EX CVT IVTEC (120cv) (L18)
98,1.6 XL Plus \ MP3
99,1.6 Trendline 5Ptas. (MY14 ABG ABS)
100,LT 1.6 AT 4Ptas. (103cv)
101,2.0 TFSI Sportline MT (200cv)
102,1.0 High Up! (75cv) 3Ptas.
103,Max 4Ptas. 1.6 N Ambiente
104,Max 4Ptas. 1.6 N Edge Plus
105,1.6 Trendline / Comfortline (101cv) (MY14 ABG ABS) 
106,1.6 THP Sport Tiptronic (165cv) (L20)
107,2.2 TDCi C/Doble 4x2 XL 6MT (125cv) (L20)
108,1.5i 90 Tendance Pack Secure (L12) 
109,1.8 EXS AT Sedán (140cv) (L06)
110,1.8 N 8v GL Plus
111,1.6 3Ptas. Highline / Pack III (101cv) 
112,1.6 Active (L20)
113,Feline 2.0 16v MT (143cv) 5Ptas. (L12)
114,1.5 N 8v Active (90cv) 
115,4Ptas.- 2.0 Hdi SX (110cv)
116,1.6 16v. Feline Tiptronic (115cv) (L20)
117,2.0 TFSI Sportline DSG (200cv)
118,2.0 Trendline Tiptronic
119,GL 2.0 8v
120,1.8 LTZ MT 4x2 (140cv)
121,2.0 Volcano 4x4 9AT Cab/Doble Pack Premium
122,1.6 S MT (125cv) 5Ptas. (L15)
123,1.8 AT Longitude (128cv) (L19)
124,XEI 1.8 MT (136cv) (L12)
125,2.4 EX AT
126,Variant 1.6 MT Trendline (110cv) (L15)
127,1.5 SE (105cv) 5Ptas.
128,1.8 MT Sport Plus (128cv)
129,Variant 1.4 TSI Highline DSG (150cv) (L15)
130,1.6 16v. Allure MT (115cv)
131,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.
132,4x2 CD SR 2.4 TDI 6MT (150cv) (L18)
