iter	RMSE
0	8269.890675
1	7915.495566
2	7592.981364
3	7318.366225
4	7038.857768
5	6789.439652
6	6553.086611
7	6338.871288
8	6140.651523
9	5959.837344
10	5788.785581
11	5629.907254
12	5489.697808
13	5350.75832
14	5215.748201
15	5103.462571
16	5002.212146
17	4905.350734
18	4821.023492
19	4738.252059
20	4665.717955
21	4593.362465
22	4526.397594
23	4467.952936
24	4412.17668
25	4364.899634
26	4314.634137
27	4272.237792
28	4240.0949
29	4203.320268
30	4160.530861
31	4107.564532
32	4075.136313
33	4041.998592
34	4014.369826
35	3975.431245
36	3942.289091
37	3901.609865
38	3864.311061
39	3838.744906
40	3807.134144
41	3772.598184
42	3743.736014
43	3722.009233
44	3702.686731
45	3692.089151
46	3677.848422
47	3650.983051
48	3628.056859
49	3606.866492
50	3584.715062
51	3573.710275
52	3563.796626
53	3552.167509
54	3545.678412
55	3527.64331
56	3512.550733
57	3490.118297
58	3479.417814
59	3469.140196
60	3450.769094
61	3439.350482
62	3423.388121
63	3413.493891
64	3405.157308
65	3398.435325
66	3384.287011
67	3378.464857
68	3371.333892
69	3362.508069
70	3355.579984
71	3342.642447
72	3336.839466
73	3327.767193
74	3318.984104
75	3303.298429
76	3299.810452
77	3285.707123
78	3274.774378
79	3265.345563
80	3252.617677
81	3245.943687
82	3233.789202
83	3220.453012
84	3214.92772
85	3206.426666
86	3197.712962
87	3185.018949
88	3178.317187
89	3174.280338
90	3170.777045
91	3167.792609
92	3157.667481
93	3147.180921
94	3139.51836
95	3130.051997
96	3122.405534
97	3118.746685
98	3106.028726
99	3094.303229
100	3087.962218
101	3083.559375
102	3072.613675
103	3060.98054
104	3058.669453
105	3052.170165
106	3045.332493
107	3038.896987
108	3028.597711
109	3023.65589
110	3018.657605
111	3008.613048
112	3002.772661
113	3001.647587
114	2998.370994
115	2984.323778
116	2978.113397
117	2966.889217
118	2962.943905
119	2959.400009
120	2953.710719
121	2949.854269
122	2945.758954
123	2940.210072
124	2930.637461
125	2920.116887
126	2909.21786
127	2908.26727
128	2902.092577
129	2901.069166
130	2897.50502
131	2888.816277
132	2883.336996
133	2874.603063
134	2870.535565
135	2866.093155
136	2861.896355
137	2852.958953
138	2847.562724
139	2842.310715
140	2838.07254
141	2834.949345
142	2821.386228
143	2817.403125
144	2799.805
145	2794.043913
146	2787.519729
147	2783.243715
148	2775.663838
149	2769.775949
150	2766.591369
151	2759.456689
152	2753.673065
153	2750.381501
154	2737.363045
155	2734.168033
156	2729.347872
157	2723.146909
158	2715.502303
159	2712.047104
160	2708.395972
161	2700.438651
162	2698.335399
163	2697.690692
164	2693.913493
165	2689.02951
166	2683.699657
167	2677.481862
168	2671.258486
169	2664.646992
170	2658.869513
171	2657.686842
172	2651.06208
173	2645.633167
174	2637.537922
175	2634.979589
176	2630.488115
177	2627.233329
178	2624.308395
179	2616.833512
180	2610.898559
181	2606.81923
182	2601.203359
183	2599.688547
184	2593.953897
185	2590.320913
186	2584.836539
187	2581.726914
188	2579.862589
189	2574.629625
190	2569.575237
191	2567.18382
192	2562.298838
193	2557.847785
194	2556.885223
195	2552.583183
196	2550.971787
197	2545.665862
198	2541.201903
199	2537.043355
200	2529.219308
201	2523.094225
202	2521.773628
203	2519.622216
204	2516.060574
205	2512.164851
206	2508.572217
207	2506.749758
208	2502.337154
209	2498.760982
210	2496.750652
211	2494.394331
212	2493.07052
213	2490.321629
214	2487.367402
215	2486.01774
216	2481.818314
217	2479.39241
218	2475.413026
219	2471.883836
220	2468.759151
221	2465.431225
222	2463.758757
223	2462.555188
224	2459.354647
225	2453.157311
226	2448.109885
227	2447.509393
228	2444.701424
229	2442.052487
230	2440.848619
231	2437.983094
232	2433.057311
233	2430.475204
234	2427.654289
235	2424.790465
236	2420.289131
237	2418.241145
238	2408.667326
239	2404.826373
240	2401.829344
241	2397.384118
242	2395.242476
243	2393.117762
244	2389.712559
245	2387.642556
246	2384.57685
247	2382.588727
248	2381.187612
249	2379.087262
250	2377.057489
251	2372.77166
252	2371.818781
253	2367.307046
254	2364.955647
255	2363.811478
256	2360.828581
257	2357.459025
258	2354.248248
259	2350.507255
260	2348.526726
261	2345.107253
262	2342.674439
263	2340.388732
264	2338.395641
265	2336.361252
266	2334.37488
267	2332.312883
268	2330.133119
269	2329.365806
270	2327.187933
271	2325.754345
272	2323.19351
273	2320.110591
274	2319.661716
275	2318.76286
276	2316.897521
277	2313.091731
278	2310.805938
279	2309.510416
280	2308.362866
281	2306.673539
282	2304.946067
283	2304.108948
284	2301.501512
285	2299.705837
286	2296.25546
287	2295.102974
288	2293.305449
289	2292.930749
290	2289.715885
291	2289.006865
292	2286.176952
293	2284.275675
294	2282.697641
295	2278.096235
296	2277.415958
297	2275.72478
298	2274.329897
299	2272.182501
300	2269.427743
301	2267.539346
302	2265.281139
303	2263.166821
304	2261.839867
305	2259.978246
306	2258.473685
307	2257.196199
308	2256.247168
309	2251.956119
310	2248.367098
311	2246.016455
312	2244.506903
313	2240.249718
314	2239.768501
315	2238.475015
316	2236.286663
317	2234.258894
318	2233.656237
319	2233.160511
320	2232.150534
321	2230.703853
322	2229.314977
