iter	Passed	Remaining
0	67	67612
1	73	36768
2	79	26339
3	84	20964
4	91	18154
5	97	16135
6	103	14654
7	108	13429
8	113	12523
9	118	11780
10	124	11214
11	129	10698
12	136	10342
13	141	9960
14	146	9631
15	151	9287
16	157	9079
17	161	8836
18	166	8609
19	171	8394
20	176	8222
21	182	8120
22	188	8014
23	195	7969
24	201	7847
25	205	7715
26	211	7621
27	216	7525
28	221	7416
29	226	7320
30	232	7265
31	237	7199
32	243	7147
33	248	7070
34	254	7022
35	260	6965
36	264	6886
37	269	6830
38	275	6778
39	280	6742
40	286	6690
41	291	6637
42	300	6677
43	307	6673
44	313	6643
45	319	6630
46	324	6579
47	331	6574
48	336	6537
49	343	6521
50	350	6526
51	356	6501
52	361	6463
53	368	6451
54	379	6516
55	385	6506
56	392	6490
57	399	6485
58	404	6450
59	410	6434
60	418	6449
61	424	6418
62	433	6447
63	440	6441
64	449	6461
65	454	6432
66	459	6405
67	468	6418
68	476	6429
69	482	6415
70	491	6435
71	497	6414
72	506	6430
73	511	6401
74	516	6369
75	523	6367
76	529	6343
77	534	6321
78	540	6307
79	550	6334
80	556	6314
81	561	6290
82	567	6264
83	572	6248
84	578	6231
85	589	6261
86	593	6228
87	604	6259
88	613	6280
89	623	6302
90	631	6312
91	639	6315
92	645	6294
93	650	6272
94	657	6267
95	663	6248
96	669	6232
97	674	6205
98	678	6175
99	689	6207
100	694	6181
101	700	6165
102	707	6160
103	713	6148
104	718	6123
105	725	6123
106	732	6117
107	737	6093
108	744	6084
109	748	6055
110	756	6057
111	761	6037
112	768	6030
113	775	6027
114	780	6002
115	789	6017
116	797	6017
117	804	6013
118	810	6002
119	815	5982
120	823	5980
121	832	5989
122	839	5983
123	843	5959
124	848	5937
125	857	5945
126	864	5940
127	871	5938
128	880	5945
129	886	5933
130	894	5934
131	901	5927
132	905	5905
133	914	5907
134	919	5889
135	925	5877
136	931	5869
137	937	5856
138	945	5855
139	951	5845
140	956	5826
141	961	5809
142	971	5819
143	975	5800
144	984	5804
145	988	5783
146	994	5772
147	1001	5763
148	1007	5752
149	1013	5744
150	1018	5726
151	1023	5710
152	1029	5698
153	1035	5689
154	1042	5682
155	1051	5687
156	1056	5672
157	1066	5685
158	1073	5675
159	1077	5659
160	1085	5657
161	1091	5647
162	1096	5630
163	1104	5630
164	1109	5617
165	1117	5615
166	1126	5617
167	1132	5609
168	1140	5605
169	1145	5591
170	1150	5579
171	1157	5571
172	1165	5571
173	1170	5554
174	1176	5545
175	1179	5524
176	1186	5515
177	1193	5511
178	1201	5512
179	1207	5502
180	1214	5494
181	1221	5488
182	1227	5479
183	1233	5470
184	1238	5457
185	1248	5464
186	1254	5456
187	1264	5460
188	1268	5441
189	1272	5425
190	1277	5410
191	1285	5411
192	1291	5398
193	1298	5394
194	1303	5382
195	1313	5388
196	1317	5370
197	1323	5360
198	1331	5360
199	1339	5357
200	1347	5357
201	1351	5340
202	1356	5325
203	1361	5313
204	1366	5300
205	1371	5286
206	1380	5290
207	1385	5275
208	1390	5262
209	1398	5262
210	1404	5253
211	1410	5244
212	1416	5234
213	1422	5224
214	1426	5207
