iter	RMSE
0	1338789.957
1	1271856.39
2	1208150.948
3	1149446.881
4	1093646.667
5	1041733.054
6	995177.3769
7	951872.2072
8	910247.9759
9	873317.2022
10	839171.6129
11	806986.9495
12	776409.9248
13	748996.1461
14	724960.8535
15	698226.81
16	673678.4921
17	651558.2086
18	630556.436
19	611706.9724
20	594999.7435
21	579274.6506
22	563495.1328
23	548811.496
24	535243.3937
25	524288.5421
26	513692.114
27	503642.6731
28	494951.5422
29	487108.788
30	478541.6646
31	471598.937
32	465753.5816
33	458958.9751
34	453002.9765
35	447521.0825
36	443107.0736
37	439130.5935
38	435149.9893
39	430468.2396
40	427056.0033
41	423584.2919
42	419244.0305
43	414824.6953
44	410110.4421
45	406087.4229
46	402932.9915
47	399687.1152
48	397108.8006
49	394291.8349
50	391512.5571
51	388158.0363
52	385214.6569
53	382791.1096
54	380584.1346
55	378686.3483
56	376120.8094
57	374745.4144
58	373127.8388
59	371785.9691
60	370181.9872
61	367877.9262
62	366303.677
63	364992.3549
64	363063.3118
65	361422.4914
66	360365.896
67	359337.1752
68	358482.6882
69	356086.1171
70	354812.1294
71	353728.3144
72	352425.0039
73	351735.441
74	350267.2587
75	348623.8164
76	347691.2648
77	346087.1326
78	345315.0361
79	344260.082
80	342704.9252
81	341674.8074
82	340884.4075
83	340425.7115
84	339066.901
85	338224.9359
86	337373.0051
87	336506.135
88	335935.2797
89	335218.8276
90	334121.2338
91	333376.1546
92	332856.2029
93	332495.0059
94	331316.3315
95	331004.3604
96	330593.3942
97	329887.7142
98	329327.2883
99	328772.1227
100	328462.4456
101	327972.8283
102	327104.9185
103	326513.4099
104	325327.958
105	324912.6256
106	324294.8519
107	323687.1574
108	322915.8446
109	322202.7185
110	321937.7933
111	321407.2191
112	320844.1087
113	320378.0521
114	320001.0011
115	319356.5345
116	318827.1935
117	318127.1882
118	317419.5592
119	316953.4597
120	316588.8808
121	316347.4199
122	315477.5587
123	315085.6784
124	314577.3671
125	314352.8608
126	313510.5336
127	313009.4533
128	312623.6944
129	312438.7823
130	312126.496
131	311784.4104
132	311454.7256
133	311188.4786
134	310844.4502
135	310142.1139
136	309829.3167
137	309450.2708
138	309291.0501
139	308842.5628
140	308267.4836
141	307813.2322
142	307532.1873
143	307156.68
144	306992.135
145	306625.1493
146	306242.8013
147	305715.2535
148	305479.8251
149	305085.3801
150	304730.8297
151	304444.6273
152	303817.8343
153	303657.6214
154	303365.9528
155	302746.0872
156	302461.7071
157	302052.9685
158	301829.2926
159	301697.8243
160	301284.8872
161	301134.8096
162	300786.8615
163	300477.2213
164	300324.9086
165	300075.2093
166	299874.1482
167	299685.3077
168	298886.054
169	298402.7258
170	298171.8971
171	297937.3631
172	297824.437
173	297385.6229
174	297248.3517
175	296523.2647
176	296343.5308
177	295755.6334
178	295506.1917
179	295237.8025
180	294910.9899
181	294810.9485
182	294215.3511
183	294001.1908
184	293673.1772
185	293292.8723
186	293091.2276
187	292939.7554
188	292535.699
189	292326.5393
190	292206.5098
191	291981.4919
192	291763.3492
193	291544.5237
194	291321.2642
195	291021.0611
196	290783.6506
197	290608.4193
198	290504.698
199	290380.4759
200	290100.2989
201	289899.8606
202	289654.3201
203	289380.037
204	288962.9688
205	288738.5179
206	288542.9242
207	288198.1964
208	287898.1031
209	287626.888
210	287510.0608
211	287295.6111
212	286738.3634
213	286427.5907
214	286274.1342
215	286127.6688
216	285735.0811
217	285485.3004
218	285216.2173
219	283998.8624
220	283776.5485
221	283649.8043
222	283494.4695
223	283228.5028
224	283050.9641
225	282850.7946
226	282663.3339
227	282461.4674
228	282329.3659
229	282221.2732
230	282008.9544
231	281846.1676
232	281691.8624
233	281495.0422
234	281309.2471
235	281101.0084
236	280993.5177
237	280819.0016
238	280666.5223
239	280533.1243
240	280395.2823
241	279806.9726
242	279693.7694
243	279569.1874
244	279402.7398
245	279169.1752
246	278994.3951
247	278829.4954
248	278689.1373
249	278456.2173
250	278382.9937
251	278116.9816
252	278051.1699
253	277550.8942
254	277325.2982
255	277150.4041
256	276957.4936
257	276888.3873
258	276820.6326
259	276686.0315
260	276525.2933
261	276426.5241
262	275996.8421
263	275959.5533
264	275789.7956
265	275711.8985
266	275526.6081
267	275363.3267
268	274709.1927
269	274649.4238
270	274531.8415
271	274441.0176
272	274282.182
273	274212.3494
274	274168.9497
275	274024.0653
276	273796.588
277	273762.7798
278	273632.7877
279	273303.0624
280	273183.9417
281	272959.3556
282	272833.433
283	272805.6152
284	272644.3132
285	272552.4631
286	272461.0599
287	272432.2828
288	272343.3532
289	272274.5316
290	272194.1835
291	272104.9439
292	271991.4762
293	271823.063
