iter	Passed	Remaining
0	60	60421
1	66	33232
2	73	24432
3	78	19542
4	84	16877
5	89	14840
6	93	13316
7	98	12211
8	102	11325
9	106	10558
10	110	9963
11	115	9470
12	119	9045
13	123	8686
14	126	8303
15	129	7964
16	132	7682
17	135	7404
18	139	7203
19	142	6992
20	145	6802
21	149	6633
22	152	6462
23	155	6328
24	158	6197
25	162	6081
26	165	5971
27	168	5838
28	171	5740
29	174	5640
30	177	5558
31	181	5481
32	184	5401
33	187	5331
34	191	5280
35	194	5215
36	197	5145
37	201	5094
38	204	5035
39	207	4990
40	211	4955
41	215	4905
42	219	4878
43	223	4847
44	226	4796
45	229	4764
46	233	4736
47	236	4693
48	239	4644
49	242	4605
50	245	4576
51	249	4543
52	252	4510
53	255	4475
54	259	4450
55	262	4419
56	265	4391
57	269	4373
58	273	4356
59	277	4343
60	280	4323
61	284	4300
62	287	4269
63	290	4246
64	292	4214
65	296	4201
66	300	4179
67	303	4155
68	306	4138
69	309	4108
70	311	4080
71	314	4059
72	318	4046
73	322	4039
74	325	4015
75	328	3993
76	331	3973
77	334	3948
78	337	3939
79	341	3932
80	345	3918
81	349	3912
82	353	3903
83	357	3893
84	360	3876
85	363	3858
86	365	3838
87	369	3827
88	372	3815
89	376	3803
90	379	3794
91	384	3790
92	387	3782
93	391	3771
94	394	3762
95	398	3753
96	402	3751
97	405	3736
98	409	3722
99	412	3708
100	415	3695
101	418	3685
102	421	3667
103	423	3651
104	426	3633
105	430	3629
106	434	3625
107	437	3615
108	440	3602
109	443	3590
110	447	3588
111	451	3575
112	454	3564
113	457	3556
114	460	3546
115	463	3535
116	467	3527
117	470	3515
118	473	3507
119	477	3502
120	481	3497
121	485	3496
122	489	3487
123	492	3477
124	495	3467
125	498	3459
126	502	3453
127	507	3454
128	510	3446
129	514	3442
130	517	3433
131	521	3429
132	525	3424
133	529	3419
134	533	3418
135	537	3417
136	541	3414
137	545	3405
138	548	3398
139	553	3397
140	557	3397
141	561	3395
142	567	3398
143	571	3395
144	575	3392
145	579	3390
146	583	3388
147	588	3390
148	592	3386
149	598	3389
150	601	3383
151	605	3379
152	610	3377
153	614	3375
154	619	3378
155	624	3379
156	629	3377
157	634	3383
158	640	3385
159	643	3380
160	650	3387
161	654	3387
162	661	3394
163	666	3398
164	672	3401
165	678	3408
166	684	3411
167	689	3414
168	694	3413
169	701	3423
170	706	3425
171	712	3429
172	717	3428
173	721	3426
174	727	3427
175	731	3426
176	737	3429
177	741	3423
178	745	3417
179	748	3409
180	752	3402
181	755	3393
182	758	3388
183	763	3384
184	767	3380
185	772	3379
186	776	3374
187	780	3369
188	784	3364
189	787	3358
190	790	3349
191	794	3345
192	798	3338
193	802	3332
194	805	3323
195	808	3316
196	812	3310
197	816	3305
198	819	3300
199	823	3295
