iter	RMSE
0	7487.102371
1	7127.041227
2	6798.272902
3	6492.146201
4	6194.440431
5	5922.068815
6	5673.124411
7	5430.221622
8	5215.932362
9	5011.919425
10	4826.870342
11	4643.375005
12	4476.780553
13	4319.153386
14	4167.082193
15	4034.406513
16	3901.218463
17	3785.208359
18	3676.540366
19	3575.990198
20	3486.469862
21	3400.161315
22	3320.43621
23	3250.517975
24	3177.583441
25	3118.155617
26	3058.148557
27	3008.041306
28	2951.91952
29	2898.945219
30	2857.055448
31	2816.624054
32	2778.872669
33	2743.755112
34	2711.65023
35	2682.52439
36	2656.897992
37	2628.088698
38	2590.56877
39	2546.153345
40	2517.550041
41	2485.115616
42	2465.477617
43	2434.399754
44	2406.165182
45	2376.599934
46	2355.514674
47	2340.220178
48	2319.963711
49	2305.294282
50	2280.691045
51	2268.116541
52	2252.674862
53	2237.949484
54	2220.911782
55	2210.403865
56	2201.461946
57	2183.898065
58	2167.462953
59	2160.471971
60	2146.080014
61	2137.620198
62	2130.373196
63	2118.69771
64	2112.094814
65	2103.788039
66	2092.545072
67	2084.750594
68	2076.228617
69	2068.029121
70	2058.167672
71	2047.37039
72	2040.396511
73	2033.392454
74	2020.841321
75	2014.685946
76	2008.063951
77	2005.839693
78	1998.473375
79	1987.160024
80	1973.739942
81	1967.527264
82	1959.077388
83	1954.283117
84	1947.789763
85	1938.140606
86	1934.236522
87	1928.893702
88	1923.827617
89	1919.866282
90	1913.236094
91	1905.836029
92	1898.985226
93	1895.195811
94	1890.17943
95	1886.281065
96	1884.671714
97	1881.874005
98	1875.928151
99	1870.008542
100	1862.931126
101	1859.939343
102	1856.27687
103	1849.058135
104	1845.895336
105	1842.655712
106	1834.70239
107	1827.665695
108	1823.591014
109	1822.081558
110	1816.525869
111	1813.592963
112	1807.477035
113	1803.80959
114	1799.688471
115	1795.768294
116	1792.61224
117	1790.055455
118	1787.10463
119	1784.342528
120	1779.735239
121	1774.598332
122	1770.42906
123	1768.983339
124	1767.959777
125	1764.594458
126	1761.816981
127	1758.946864
128	1755.259078
129	1751.416012
130	1749.882404
131	1748.577051
132	1743.960033
133	1740.836694
134	1739.051735
135	1737.760421
136	1737.339592
137	1734.301591
138	1731.973581
139	1728.742563
140	1728.17987
141	1725.90933
142	1722.36022
143	1721.038014
144	1718.528604
145	1715.519412
146	1707.010609
147	1704.237301
148	1701.535375
149	1692.971638
150	1692.362236
151	1684.652304
152	1683.648798
153	1680.935307
154	1678.473342
155	1673.238609
156	1672.520588
157	1671.39161
158	1665.598858
159	1663.652497
160	1663.239183
161	1662.853966
162	1660.917109
163	1658.48668
164	1656.723562
165	1656.091674
166	1655.279129
167	1652.70118
168	1651.689859
169	1647.830325
170	1645.521292
171	1645.274211
172	1643.455399
173	1631.354119
174	1630.429447
175	1626.670319
176	1621.9314
177	1615.758618
178	1613.796187
179	1613.317459
180	1608.710396
181	1606.473192
182	1600.95244
183	1595.987463
184	1595.317798
185	1592.559964
186	1591.055383
187	1590.562465
188	1590.122759
189	1588.154547
190	1587.970033
191	1587.697477
192	1587.026993
193	1586.588353
194	1584.670626
195	1575.372734
196	1573.463803
197	1573.018434
198	1572.443626
199	1568.254237
200	1564.983297
201	1563.925751
202	1561.035434
203	1560.423655
204	1557.553417
205	1556.563758
206	1554.997432
207	1551.819944
208	1546.200582
209	1539.778512
210	1538.546965
211	1536.424545
212	1535.056311
213	1530.243265
214	1525.459958
215	1524.844715
216	1524.441982
217	1524.138495
218	1523.084826
219	1522.870011
220	1522.181035
221	1520.626836
222	1516.636896
223	1515.809791
224	1514.580572
225	1514.085094
226	1512.73968
227	1512.382899
228	1512.060683
229	1511.358045
230	1509.786731
231	1506.411698
232	1504.615223
233	1502.813935
234	1500.926976
235	1499.90649
236	1495.601462
237	1491.96529
238	1489.430034
239	1488.31651
240	1487.04169
241	1484.662424
242	1480.968491
243	1479.314241
244	1475.86184
245	1474.65676
246	1474.077285
247	1471.736023
248	1470.692159
249	1467.896652
250	1463.613236
251	1461.430135
252	1460.600891
253	1460.08286
254	1459.273412
255	1456.183673
256	1452.766021
257	1452.477522
258	1447.079611
259	1446.715696
260	1446.392168
261	1443.91915
262	1439.689659
263	1439.054203
264	1438.71996
265	1436.378061
266	1432.508756
267	1428.365879
268	1427.357907
269	1426.50888
270	1424.595253
271	1423.894136
272	1422.110583
273	1421.586983
274	1421.086874
275	1420.663759
276	1419.777295
277	1419.517239
278	1419.234528
279	1418.799091
280	1416.153795
281	1415.606225
282	1412.470388
283	1410.230093
284	1408.332986
285	1408.008375
286	1407.372713
287	1405.904904
288	1404.749178
289	1403.666648
290	1403.338426
291	1402.909342
292	1402.557322
293	1401.942537
294	1401.358167
295	1399.320168
296	1396.944494
297	1396.675796
298	1396.390402
299	1394.644444
300	1393.932851
301	1391.115532
302	1390.047829
303	1386.366005
304	1386.117844
305	1385.970099
306	1384.167769
307	1383.082478
308	1381.633935
309	1381.200775
310	1380.748289
311	1380.561469
312	1379.833702
313	1378.704786
314	1378.172827
315	1377.730611
316	1377.66526
317	1377.62953
318	1377.359555
319	1375.117707
320	1373.149435
321	1368.70627
322	1368.557709
323	1367.575715
324	1367.149412
325	1364.985424
326	1362.870667
327	1361.587279
328	1361.263491
329	1360.816928
330	1360.006577
331	1359.542536
332	1359.200078
333	1358.09478
334	1357.428729
335	1356.373021
336	1356.12399
337	1355.781927
338	1355.658659
339	1355.106683
340	1353.576046
341	1351.441145
342	1349.574959
343	1348.88347
344	1348.618468
345	1348.112013
346	1347.881843
347	1347.682175
348	1346.654174
349	1346.058748
350	1343.844047
351	1343.770672
352	1343.567503
353	1343.523376
354	1343.342659
355	1342.284497
356	1342.082971
357	1342.00402
358	1341.904172
359	1341.75045
360	1341.490166
361	1339.363232
362	1339.166606
363	1339.071893
364	1338.352275
365	1338.103106
366	1336.225458
367	1335.691016
368	1335.513587
369	1333.456483
370	1332.954785
371	1331.646718
372	1329.964804
373	1329.470751
374	1329.053228
375	1328.279324
376	1327.806463
377	1327.122058
378	1325.44186
379	1324.056327
380	1323.728572
381	1323.154692
382	1322.620741
383	1321.598614
384	1320.04513
385	1319.780594
386	1318.381701
387	1317.81074
388	1317.365012
389	1316.625842
390	1316.151462
391	1315.96048
392	1315.725281
393	1315.384449
394	1314.161336
395	1313.903095
396	1313.408816
397	1313.013343
398	1312.242798
399	1312.118778
400	1311.944137
401	1311.775969
402	1311.575066
403	1310.951704
404	1310.800973
405	1310.329124
406	1310.162818
407	1310.083464
408	1309.970266
409	1309.854619
410	1309.706625
411	1308.620089
412	1308.577246
413	1307.043687
414	1306.827293
415	1305.256258
416	1305.075408
417	1304.4719
418	1304.151967
419	1303.812997
420	1303.339658
421	1303.003942
422	1301.951144
423	1301.495335
424	1301.16851
425	1300.616912
426	1300.215055
427	1300.18461
428	1299.928287
429	1299.068961
430	1298.942357
431	1297.388986
432	1297.281032
433	1297.17449
434	1296.850417
435	1296.586187
436	1296.188533
437	1295.881232
438	1295.548148
439	1295.337335
440	1294.919392
441	1294.733005
442	1294.521227
443	1294.037277
444	1293.858263
445	1293.697158
446	1293.437216
447	1292.151622
448	1290.873944
449	1290.577765
450	1289.98818
451	1289.485585
452	1289.292339
