iter	Passed	Remaining
0	66	66727
1	73	36605
2	81	27093
3	87	21784
4	91	18152
5	96	15917
6	100	14263
7	104	12999
8	112	12333
9	115	11466
10	120	10847
11	126	10405
12	130	9924
13	138	9754
14	144	9461
15	148	9157
16	153	8869
17	159	8687
18	162	8405
19	168	8234
20	171	8017
21	176	7846
22	180	7682
23	186	7604
24	192	7526
25	197	7404
26	203	7329
27	208	7229
28	211	7078
29	215	6969
30	220	6882
31	225	6818
32	229	6719
33	234	6668
34	239	6603
35	244	6540
36	248	6462
37	252	6381
38	256	6312
39	262	6290
40	267	6249
41	273	6229
42	278	6187
43	282	6137
44	286	6079
45	291	6043
46	297	6035
47	302	5995
48	306	5940
49	310	5900
50	315	5863
51	319	5823
52	323	5773
53	329	5766
54	333	5729
55	337	5692
56	341	5657
57	346	5627
58	350	5584
59	354	5555
60	359	5539
61	364	5518
62	369	5489
63	373	5464
64	378	5440
65	386	5463
66	390	5431
67	394	5412
68	398	5381
69	403	5360
70	408	5347
71	413	5330
72	418	5315
73	423	5296
74	429	5293
75	434	5284
76	438	5257
77	441	5220
78	445	5199
79	451	5187
80	455	5172
81	459	5149
82	464	5128
83	468	5108
84	473	5097
85	478	5084
86	482	5058
87	486	5038
88	491	5033
89	495	5013
90	499	4987
91	503	4970
92	507	4951
93	512	4940
94	517	4928
95	522	4916
96	526	4904
97	532	4898
98	536	4882
99	539	4859
100	544	4843
101	548	4833
102	553	4817
103	557	4804
104	561	4789
105	566	4780
106	570	4764
107	574	4744
108	579	4738
109	584	4727
110	588	4713
111	594	4710
112	598	4696
113	601	4677
114	607	4675
115	611	4657
116	614	4640
117	619	4628
118	622	4611
119	627	4603
120	632	4593
121	638	4595
122	642	4580
123	647	4571
124	651	4559
125	654	4543
126	660	4537
127	665	4530
128	669	4523
129	675	4520
130	680	4511
131	684	4498
132	689	4494
133	693	4483
134	698	4473
135	703	4466
136	707	4456
137	712	4453
138	717	4443
139	722	4437
140	726	4428
141	731	4417
142	735	4406
143	740	4399
144	744	4392
145	748	4376
146	753	4371
147	757	4359
148	762	4356
149	767	4347
150	772	4341
151	776	4334
152	783	4334
153	787	4328
154	791	4316
155	797	4315
156	801	4301
157	805	4291
158	810	4286
159	814	4274
160	820	4277
161	824	4267
162	829	4261
163	834	4252
164	838	4245
165	843	4237
166	847	4227
167	852	4222
168	857	4214
169	862	4210
170	866	4201
171	871	4195
172	876	4189
173	881	4185
174	886	4179
175	891	4176
176	895	4165
177	900	4159
178	905	4154
179	909	4145
180	914	4138
181	918	4129
182	923	4123
183	928	4119
184	933	4112
185	937	4103
186	941	4092
187	946	4087
188	951	4082
189	955	4074
190	960	4067
191	964	4060
192	968	4050
193	973	4042
194	978	4038
195	983	4032
196	987	4025
197	991	4014
198	996	4009
199	1001	4005
200	1005	3996
201	1009	3988
202	1013	3980
203	1017	3968
204	1022	3964
205	1026	3957
206	1030	3947
207	1035	3941
208	1039	3936
209	1044	3931
210	1051	3930
211	1054	3920
212	1059	3914
213	1063	3904
214	1068	3901
215	1073	3896
216	1078	3891
217	1083	3885
218	1087	3877
219	1091	3869
220	1096	3865
221	1101	3861
222	1106	3855
223	1110	3848
224	1115	3842
225	1119	3834
226	1124	3827
227	1130	3827
228	1135	3822
229	1140	3817
230	1147	3819
231	1154	3821
232	1158	3814
233	1164	3810
234	1169	3807
235	1174	3801
236	1178	3794
237	1183	3789
238	1188	3785
239	1223	3872
240	1232	3881
241	1247	3906
242	1252	3901
243	1268	3931
244	1276	3934
245	1280	3923
246	1284	3916
247	1289	3908
248	1295	3907
249	1301	3904
250	1306	3899
251	1310	3890
252	1315	3883
253	1320	3879
254	1326	3875
255	1331	3869
256	1335	3862
257	1340	3855
258	1345	3848
259	1349	3839
260	1353	3832
261	1358	3827
262	1363	3819
263	1367	3812
264	1372	3806
265	1377	3801
266	1382	3794
267	1387	3789
268	1392	3782
269	1397	3778
270	1402	3773
271	1408	3768
272	1412	3761
273	1418	3757
274	1422	3750
275	1426	3740
276	1431	3736
277	1436	3730
278	1440	3721
279	1444	3713
280	1449	3708
281	1453	3700
282	1457	3692
283	1462	3686
284	1466	3679
285	1469	3669
286	1475	3664
287	1479	3658
288	1484	3652
289	1488	3644
290	1493	3639
291	1498	3633
292	1502	3626
293	1507	3620
294	1512	3615
295	1517	3609
296	1522	3603
297	1526	3595
298	1530	3589
299	1535	3583
300	1541	3580
301	1546	3575
302	1551	3567
303	1554	3559
304	1558	3551
305	1562	3543
306	1567	3537
307	1571	3531
308	1575	3523
309	1579	3515
310	1584	3509
311	1588	3502
312	1592	3496
313	1597	3490
314	1601	3482
315	1605	3475
316	1610	3470
317	1614	3461
318	1619	3456
319	1624	3451
320	1628	3444
321	1632	3437
322	1636	3429
323	1639	3421
324	1643	3413
325	1648	3409
326	1653	3403
327	1657	3396
328	1661	3389
329	1665	3381
330	1671	3378
331	1676	3373
332	1682	3369
333	1686	3363
334	1690	3355
335	1695	3350
336	1699	3342
337	1703	3336
338	1707	3328
339	1710	3321
340	1716	3316
341	1720	3309
342	1723	3302
343	1728	3296
344	1732	3289
345	1737	3284
346	1742	3278
347	1747	3273
348	1751	3267
349	1756	3261
350	1760	3255
351	1765	3249
352	1768	3242
353	1772	3234
354	1776	3227
355	1780	3220
356	1784	3214
357	1788	3207
358	1793	3201
359	1797	3196
360	1802	3190
361	1806	3184
362	1811	3178
363	1815	3171
364	1819	3165
365	1825	3161
366	1829	3155
367	1834	3150
368	1837	3142
369	1841	3136
370	1845	3129
371	1850	3123
372	1854	3117
373	1859	3112
374	1863	3106
375	1869	3102
376	1875	3100
377	1879	3092
378	1885	3089
379	1890	3083
380	1895	3079
381	1899	3073
382	1904	3067
383	1909	3063
384	1914	3058
385	1918	3051
386	1922	3045
387	1927	3039
388	1933	3036
389	1938	3032
390	1943	3027
391	1948	3022
392	1954	3018
393	1958	3012
394	1962	3006
395	1967	3001
396	1972	2996
397	1976	2989
398	1980	2983
399	1985	2978
400	1990	2972
401	1994	2966
402	1998	2961
403	2003	2955
404	2007	2949
405	2012	2943
406	2016	2938
407	2020	2932
408	2024	2926
409	2029	2921
410	2034	2915
411	2038	2909
412	2043	2904
413	2048	2899
414	2052	2893
415	2060	2891
416	2065	2887
417	2070	2882
418	2073	2874
419	2076	2867
420	2081	2862
421	2086	2857
422	2090	2851
423	2094	2845
424	2098	2839
425	2102	2832
426	2107	2827
427	2110	2820
428	2115	2815
429	2121	2812
430	2128	2810
431	2134	2805
432	2138	2800
433	2143	2794
434	2150	2793
435	2156	2789
436	2160	2784
437	2166	2779
438	2170	2774
439	2175	2768
440	2179	2762
441	2183	2756
442	2186	2749
443	2192	2745
444	2197	2740
445	2202	2735
446	2206	2729
447	2210	2724
448	2215	2718
449	2219	2712
450	2223	2707
451	2228	2701
452	2231	2694
453	2235	2688
454	2239	2682
455	2245	2678
456	2249	2673
457	2254	2668
458	2260	2664
459	2265	2659
460	2269	2653
461	2274	2648
462	2279	2643
463	2283	2637
464	2288	2632
465	2292	2627
466	2298	2622
467	2306	2621
468	2311	2617
469	2316	2612
470	2321	2607
471	2325	2601
472	2330	2596
473	2334	2590
474	2338	2584
475	2341	2577
476	2347	2574
477	2352	2569
478	2357	2563
479	2361	2558
480	2366	2553
481	2371	2548
482	2376	2544
483	2381	2539
484	2386	2533
485	2390	2527
486	2394	2522
487	2399	2517
488	2405	2513
489	2410	2508
490	2413	2502
491	2417	2496
492	2421	2490
493	2426	2485
494	2431	2480
495	2435	2474
496	2440	2469
497	2444	2464
498	2448	2458
499	2452	2452
500	2456	2447
501	2460	2441
502	2465	2436
503	2471	2431
504	2475	2426
505	2480	2421
506	2484	2416
507	2490	2411
508	2494	2406
509	2498	2400
510	2503	2396
511	2507	2390
512	2512	2384
513	2516	2379
514	2519	2372
515	2523	2366
516	2528	2362
517	2533	2357
518	2537	2351
519	2542	2346
520	2546	2341
521	2551	2336
522	2556	2331
523	2561	2327
524	2567	2323
525	2572	2318
526	2576	2312
527	2580	2307
528	2585	2302
529	2591	2297
530	2595	2292
531	2599	2286
532	2604	2281
533	2607	2275
534	2612	2270
535	2616	2265
536	2622	2260
537	2626	2255
538	2630	2249
539	2634	2244
540	2639	2239
541	2647	2237
542	2652	2232
543	2656	2226
544	2659	2220
545	2664	2215
546	2670	2211
547	2676	2207
548	2681	2203
549	2687	2198
550	2692	2193
551	2697	2189
552	2700	2183
553	2705	2178
554	2711	2173
555	2717	2169
556	2721	2164
557	2725	2159
558	2730	2154
559	2735	2149
560	2739	2143
561	2744	2138
562	2749	2133
563	2753	2128
564	2757	2123
565	2763	2118
566	2768	2113
567	2772	2108
568	2778	2104
569	2782	2098
570	2785	2093
571	2790	2087
572	2794	2082
573	2798	2076
574	2803	2072
575	2809	2068
576	2812	2062
577	2823	2061
578	2828	2056
579	2833	2051
580	2838	2046
581	2842	2041
582	2848	2037
583	2852	2031
584	2859	2028
585	2864	2023
586	2867	2017
587	2872	2012
588	2878	2008
589	2882	2003
590	2887	1998
591	2892	1993
592	2896	1987
593	2904	1985
594	2907	1979
595	2914	1975
596	2919	1970
597	2923	1965
598	2928	1960
599	2934	1956
600	2939	1951
601	2943	1946
602	2948	1941
603	2953	1936
604	2958	1931
605	2962	1926
606	2967	1921
607	2972	1916
608	2977	1911
609	2981	1906
610	2986	1901
611	2991	1896
612	2997	1892
613	3001	1887
614	3005	1881
615	3010	1876
616	3014	1871
617	3018	1866
618	3023	1860
619	3028	1856
620	3033	1851
621	3038	1846
622	3042	1840
623	3047	1836
624	3052	1831
625	3056	1826
626	3061	1821
627	3066	1816
628	3071	1811
629	3075	1806
630	3080	1801
631	3085	1796
632	3089	1791
633	3092	1785
634	3096	1780
635	3101	1774
636	3105	1769
637	3110	1764
638	3114	1759
639	3119	1754
640	3124	1749
641	3129	1744
642	3134	1740
643	3138	1735
644	3143	1729
645	3146	1724
646	3150	1718
647	3155	1713
648	3159	1708
649	3164	1703
650	3168	1698
651	3172	1693
652	3176	1687
653	3181	1683
654	3186	1678
655	3191	1673
656	3195	1668
657	3199	1662
658	3204	1658
659	3208	1652
660	3212	1647
661	3215	1641
662	3220	1636
663	3225	1632
664	3230	1627
665	3234	1621
666	3239	1617
667	3244	1612
668	3249	1607
669	3253	1602
670	3259	1598
671	3264	1593
672	3268	1588
673	3273	1583
674	3277	1578
675	3283	1573
676	3288	1568
677	3293	1564
678	3299	1559
679	3304	1555
680	3311	1551
681	3316	1546
682	3320	1541
683	3324	1535
684	3327	1530
685	3331	1524
686	3336	1520
687	3342	1515
688	3345	1510
689	3350	1505
690	3355	1500
691	3360	1495
692	3365	1490
693	3370	1486
694	3375	1481
695	3380	1476
696	3384	1471
697	3388	1466
698	3392	1460
699	3397	1455
700	3401	1451
701	3406	1445
702	3411	1441
703	3416	1436
704	3420	1431
705	3424	1426
706	3429	1421
707	3435	1416
708	3440	1412
709	3444	1407
710	3448	1401
711	3453	1397
712	3458	1392
713	3464	1387
714	3468	1382
715	3475	1378
716	3480	1373
717	3484	1368
718	3489	1363
719	3494	1358
720	3497	1353
721	3502	1348
722	3506	1343
723	3510	1338
724	3514	1333
725	3519	1328
726	3524	1323
727	3529	1318
728	3533	1313
729	3538	1308
730	3542	1303
731	3546	1298
732	3550	1293
733	3556	1288
734	3562	1284
735	3567	1279
736	3572	1274
737	3580	1271
738	3584	1266
739	3590	1261
740	3597	1257
741	3602	1252
742	3608	1248
743	3613	1243
744	3618	1238
745	3624	1234
746	3629	1229
747	3633	1224
748	3637	1218
749	3641	1213
750	3645	1208
751	3650	1203
752	3655	1198
753	3660	1194
754	3665	1189
755	3669	1184
756	3674	1179
757	3679	1174
758	3684	1170
759	3689	1165
760	3694	1160
761	3698	1155
762	3704	1150
763	3709	1145
764	3714	1140
765	3718	1136
766	3724	1131
767	3729	1126
768	3734	1121
769	3741	1117
770	3745	1112
771	3749	1107
772	3755	1102
773	3760	1098
774	3767	1093
775	3771	1088
776	3774	1083
777	3782	1079
778	3786	1074
779	3790	1069
780	3796	1064
781	3800	1059
782	3804	1054
783	3810	1049
784	3817	1045
785	3822	1040
786	3827	1036
787	3832	1031
788	3836	1026
789	3841	1021
790	3845	1016
791	3850	1011
792	3854	1006
793	3858	1000
794	3863	996
795	3867	991
796	3873	986
797	3878	981
798	3882	976
799	3887	971
800	3893	967
801	3899	962
802	3904	957
803	3909	953
804	3913	947
805	3918	943
806	3922	938
807	3927	933
808	3932	928
809	3936	923
810	3941	918
811	3946	913
812	3952	909
813	3956	903
814	3960	898
815	3965	894
816	3969	889
817	3975	884
818	3979	879
819	3984	874
820	3989	869
821	3993	864
822	3997	859
823	4000	854
824	4005	849
825	4009	844
826	4013	839
827	4018	834
828	4023	829
829	4028	825
830	4033	820
831	4038	815
832	4042	810
833	4047	805
834	4053	801
835	4059	796
836	4064	791
837	4069	786
838	4074	781
839	4080	777
840	4085	772
841	4090	767
842	4094	762
843	4099	757
844	4104	752
845	4109	748
846	4114	743
847	4120	738
848	4125	733
849	4129	728
850	4133	723
851	4137	718
852	4141	713
853	4146	708
854	4151	704
855	4157	699
856	4161	694
857	4165	689
858	4170	684
859	4176	679
860	4180	674
861	4185	670
862	4190	665
863	4195	660
864	4200	655
865	4204	650
866	4208	645
867	4213	640
868	4218	635
869	4223	631
870	4228	626
871	4233	621
872	4237	616
873	4240	611
874	4246	606
875	4250	601
876	4255	596
877	4260	592
878	4266	587
879	4270	582
880	4276	577
881	4280	572
882	4284	567
